DIALOG NAME,DIALOG PARENT NAME,Plant3D,PandID
ProjectConversionFailedFileExistsErrorDLG,ProjectMaintenanceUtilityDLG,NO,NO
ProjectConversionFailedLockDLG,PMUConvertProjectToSQLExpressDLG,NO,NO
ProjectConversionSuccessDLG,ProjectMaintenanceUtilityDLG,NO,NO
ProjectCopyFailedDLG,ProjectMaintenanceUtilityDLG,NO,NO
ProjectCopyFailedLockDLG,ProjectMaintenanceUtilityDLG,NO,NO
ProjectCopySuccessDLG,ProjectMaintenanceUtilityDLG,NO,NO
ProjectDataMergedDLG,ProjectDataMergedDLG,NO,NO
ProjectFolderPropertiesDLG,PROJECTMANAGERDLG,NO,NO
ProjectMaintenanceUtilityDLG,ProjectMaintenanceUtilityDLG,NO,NO
PROJECTMANAGERDLG,PROJECTMANAGERDLG,NO,NO
ProjectMigrationCannotContinueDLG,PROJECTMANAGERDLG,NO,NO
ProjectMoveFailedDLG,ProjectMaintenanceUtilityDLG,NO,NO
ProjectMoveFailedLockDLG,ProjectMaintenanceUtilityDLG,NO,NO
ProjectMoveSuccessDLG,ProjectMaintenanceUtilityDLG,NO,NO
ProjectPublishOptionsDLG,DataManagerDLG,NO,NO
ProjectReportSelectionDLG,DataManagerDLG,NO,NO
ProjectSetupDMConfigurationDLG,PROJECTMANAGERDLG,NO,NO
ProjectSetupDrawingPropertiesDLG,PROJECTMANAGERDLG,NO,NO
ProjectSetupEndConnectionDLG,PROJECTMANAGERDLG,NO,NO
ProjectSetupExportandImportSettingsDLG,PROJECTMANAGERDLG,NO,NO
ProjectSetupIsoDefaultSettingsDLG,AppWnd,NO,NO
ProjectSetupIsometricDWGSettingsDLG,AppWnd,NO,NO
ProjectSetupIsoThemesDLG,AppWnd,NO,NO
ProjectSetupLayerAndColorSettingDLG,,NO,NO
ProjectSetupLineSettingsDLG,PROJECTMANAGERDLG,NO,NO
ProjectSetupP3DDMConfigDLG,ProjectSetupP3DDMConfigDLG,NO,NO
ProjectSetupP3DExportImportDLG,ProjectSetupP3DExportImportDLG,NO,NO
ProjectSetupP3DPathsDLG,ProjectSetupP3DPathsDLG,NO,NO
ProjectSetupPandIDClassDefinitionDLG,PROJECTMANAGERDLG,NO,NO
ProjectSetupPathsDLG,PROJECTMANAGERDLG,NO,NO
ProjectSetupPathsErrorDLG,ProjectSetupPathsDLG,NO,NO
ProjectSetupPIDLineDLG,ProjectSetupPIDLineDLG,NO,NO
ProjectsetupPipeconnectionsettingDLG,,NO,NO
ProjectSetupPlant3DClassDefinationDLG,ProjectSetupPlant3DClassDefinationDLG,NO,NO
ProjectSetupPlant3DDWG,ProjectSetupPlant3DDWG,NO,NO
ProjectSetupPlant3DIsoGenDLG,ProjectSetupPlant3DIsoGenDLG,OUT,NO
ProjectSetupProjectDetailsDLG,PROJECTMANAGERDLG,NO,NO
ProjectSetupProjectReportsDLG,PROJECTMANAGERDLG,NO,NO
ProjectSetupSQLAuthDatabaseSetupDLG,AppWnd,NO,NO
ProjectSetupSQLAuthDatabaseSetupDLG,ProjectSetupSQLAuthDatabaseSetupDLG,NO,NO
ProjectSetupSQLExpressDatabaseSetupDLG,AppWnd,NO,NO
ProjectSetupSQLiteDatabaseSetupDLG,AppWnd,NO,NO
ProjectSetupTitleBlockandDisplayDLG,AppWnd,NO,NO
ProjectSetupWizardDLG, ProjectSetupWizardDLG,NO,NO
ProjectSetupWizardFinishDLG, ProjectSetupWizardFinishDLG,NO,NO
ProjectSetupWizardSpecifyDatabaseSettingsDLG,AppWnd,NO,NO
ProjectSetupWizardSpecifyPIDSettingsDLG, ProjectSetupWizardSpecifyPIDSettingsDLG,NO,NO
ProjectSetupWizardSpecifyPlant3DDLG, ProjectSetupWizardSpecifyPlant3DDLG,NO,NO
ProjectSetupWizardSpecifyUnitSettingsDLG, ProjectSetupWizardSpecifyUnitSettingsDLG,NO,NO
